timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727365832738,823,FetchAll,401,Unauthorized,SmartStorage Users 1-32,text,false,,299,3321,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,823,0,466
1727365831829,1732,FetchAll,401,Unauthorized,SmartStorage Users 1-28,text,false,,299,3321,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,1732,0,1421
1727365832953,903,FetchAll,401,Unauthorized,SmartStorage Users 1-33,text,false,,299,3321,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,903,0,610
1727365833189,883,FetchAll,401,Unauthorized,SmartStorage Users 1-34,text,false,,299,3321,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,883,0,672
1727365833397,920,FetchAll,401,Unauthorized,SmartStorage Users 1-35,text,false,,299,3321,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,920,0,677
1727365833618,700,FetchAll,401,Unauthorized,SmartStorage Users 1-36,text,false,,299,3321,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,700,0,457
1727365833842,691,FetchAll,401,Unauthorized,SmartStorage Users 1-37,text,false,,299,3321,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,691,0,475
1727365834075,710,FetchAll,401,Unauthorized,SmartStorage Users 1-38,text,false,,299,3321,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,710,0,465
1727365834299,799,FetchAll,401,Unauthorized,SmartStorage Users 1-39,text,false,,299,3321,2,2,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,799,0,488
1727365834518,881,FetchAll,401,Unauthorized,SmartStorage Users 1-40,text,false,,299,3321,1,1,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,881,0,582
